image_name,nb_non_triangular_junctions,total_nb_junctions,csv_file
3-07-400x-1-01,,,non_triangular_junctions-3-07-400x-1-01.csv
3-07-400x-1-02,,,non_triangular_junctions-3-07-400x-1-02.csv
3-07-400x-1-03,,,non_triangular_junctions-3-07-400x-1-03.csv
3-07-400x-1-04,,,non_triangular_junctions-3-07-400x-1-04.csv
3-07-400x-2-01,,,non_triangular_junctions-3-07-400x-2-01.csv
3-07-400x-2-03,,,non_triangular_junctions-3-07-400x-2-03.csv
3-07-400x-2-04,,,non_triangular_junctions-3-07-400x-2-04.csv
3-15-700x-1-01,,,non_triangular_junctions-3-15-700x-1-01.csv
3-15-700x-1-02,,,non_triangular_junctions-3-15-700x-1-02.csv
3-15-700x-1-03,,,non_triangular_junctions-3-15-700x-1-03.csv
3-15-700x-1-04,,,non_triangular_junctions-3-15-700x-1-04.csv
3-15-700x-1-05,,,non_triangular_junctions-3-15-700x-1-05.csv
4-01-700x-2-01,,,non_triangular_junctions-4-01-700x-2-01.csv
4-01-700x-2-02,,,non_triangular_junctions-4-01-700x-2-02.csv
4-01-700x-2-03,,,non_triangular_junctions-4-01-700x-2-03.csv
4-01-700x-2-04,,,non_triangular_junctions-4-01-700x-2-04.csv
4-01-700x-2-05,,,non_triangular_junctions-4-01-700x-2-05.csv
4-01-700x-2-06,,,non_triangular_junctions-4-01-700x-2-06.csv
4-02-700x-2-01,,,non_triangular_junctions-4-02-700x-2-01.csv
4-02-700x-2-02,,,non_triangular_junctions-4-02-700x-2-02.csv
4-02-700x-2-03,,,non_triangular_junctions-4-02-700x-2-03.csv
4-02-700x-2-04,,,non_triangular_junctions-4-02-700x-2-04.csv
4-02-700x-2-05,,,non_triangular_junctions-4-02-700x-2-05.csv
4-15-400x-2-01,,,non_triangular_junctions-4-15-400x-2-01.csv
4-15-400x-2-02,,,non_triangular_junctions-4-15-400x-2-02.csv
4-15-400x-2-03,,,non_triangular_junctions-4-15-400x-2-03.csv
4-15-400x-2-04,,,non_triangular_junctions-4-15-400x-2-04.csv
4-17-400x-2-01,,,non_triangular_junctions-4-17-400x-2-01.csv
4-17-400x-2-02,,,non_triangular_junctions-4-17-400x-2-02.csv
