,image_fname,nb_cell,centroids_fname
0,7-15-400x-2-05.tif,131,centroids_7-15-400x-2-05.csv
1,7-01-700x-t-02.tif,99,centroids_7-01-700x-t-02.csv
2,7-24-400x-1-05.tif,117,centroids_7-24-400x-1-05.csv
3,7-01-700x-t-01.tif,114,centroids_7-01-700x-t-01.csv
4,7-01-700x-t-04.tif,97,centroids_7-01-700x-t-04.csv
5,7-01-700x-t2-01.tif,159,centroids_7-01-700x-t2-01.csv
6,7-24-400x-1-02.tif,103,centroids_7-24-400x-1-02.csv
7,7-15-400x-2-03.tif,136,centroids_7-15-400x-2-03.csv
8,7-24-400x-1-04.tif,119,centroids_7-24-400x-1-04.csv
9,7-01-700x-t2-05.tif,166,centroids_7-01-700x-t2-05.csv
10,7-01-700x-t2-04.tif,157,centroids_7-01-700x-t2-04.csv
11,7-01-700x-t2-03.tif,161,centroids_7-01-700x-t2-03.csv
12,7-24-400x-1-01.tif,117,centroids_7-24-400x-1-01.csv
13,7-01-700x-t-03.tif,113,centroids_7-01-700x-t-03.csv
14,7-01-700x-t-05.tif,105,centroids_7-01-700x-t-05.csv
15,7-15-400x-2-01.tif,143,centroids_7-15-400x-2-01.csv
16,7-15-400x-2-02.tif,138,centroids_7-15-400x-2-02.csv
17,7-15-400x-2-04.tif,138,centroids_7-15-400x-2-04.csv
18,7-01-700x-t2-02.tif,162,centroids_7-01-700x-t2-02.csv
0,7-23-400x-2-03.tif,9,centroids_7-23-400x-2-03.csv
1,7-23-400x-2-04.tif,10,centroids_7-23-400x-2-04.csv
2,7-23-400x-2-05.tif,8,centroids_7-23-400x-2-05.csv
3,7-23-400x-2-02.tif,5,centroids_7-23-400x-2-02.csv
4,7-23-400x-2-01.tif,5,centroids_7-23-400x-2-01.csv
0,4-01-700x-2-02.tif,109,centroids_4-01-700x-2-02.csv
1,3-15-700x-1-04.tif,200,centroids_3-15-700x-1-04.csv
2,4-15-400x-2-03.tif,69,centroids_4-15-400x-2-03.csv
3,5-22-400x-2-02.tif,182,centroids_5-22-400x-2-02.csv
4,4-02-700x-2-02.tif,142,centroids_4-02-700x-2-02.csv
5,6-21-400x-2-03.tif,50,centroids_6-21-400x-2-03.csv
6,3-15-700x-1-05.tif,208,centroids_3-15-700x-1-05.csv
7,4-17-400x-2-03.tif,66,centroids_4-17-400x-2-03.csv
8,5-22-400x-1-04.tif,172,centroids_5-22-400x-1-04.csv
